,GaussianCopula,tCopula,ClaytonCopula,HS
501,-0.07957770018527426,-0.07887423839542797,-0.08645687062830072,-0.04044099660683874
502,-0.07635581450322831,-0.06257771792896516,-0.08519357987399565,-0.04044099660683874
503,-0.058492408666489824,-0.07130099926371518,-0.07853230521103449,-0.04044099660683874
504,-0.06012385637025784,-0.0789567232800444,-0.0908836630808076,-0.04044099660683874
505,-0.053519486994233215,-0.07144374931830344,-0.09191230945975039,-0.04044099660683874
506,-0.05719954523818897,-0.05803364733940016,-0.057297970836181156,-0.04044099660683874
507,-0.06653797421181636,-0.07588282988402943,-0.08002407028607242,-0.04044099660683874
508,-0.06002292697987055,-0.053275802684429135,-0.07783621686595865,-0.04044099660683874
509,-0.0658747754524023,-0.07733213775049795,-0.07580785951608277,-0.04044099660683874
510,-0.058151086983459395,-0.07372235063628421,-0.06322356875335515,-0.04044099660683874
511,-0.05715678292336742,-0.05724522081761637,-0.07428099488939906,-0.04044099660683874
512,-0.05372135720168434,-0.06035911228670231,-0.09631063949169781,-0.04044099660683874
513,-0.05930072041502219,-0.05573740177540079,-0.07155332656512885,-0.04044099660683874
514,-0.05972008809301612,-0.11248829499706027,-0.07075523929824988,-0.04044099660683874
515,-0.05604797530832017,-0.05753826825969277,-0.06388645452655593,-0.04044099660683874
516,-0.056860689651435876,-0.07641255541812784,-0.08315239109711678,-0.04044099660683874
517,-0.05559421063375496,-0.0591101335240129,-0.05580417568801798,-0.04044099660683874
518,-0.06196224786317037,-0.05787742562938323,-0.05391741370960172,-0.04044099660683874
519,-0.050640500005944535,-0.05725615600261137,-0.05250275544523054,-0.04044099660683874
520,-0.048771154821430754,-0.07723945309952336,-0.07414750435245532,-0.04044099660683874
521,-0.040573697121767,-0.057991887221064756,-0.05967050333580713,-0.04044099660683874
522,-0.04696599354578788,-0.045376413412925594,-0.050361988655462514,-0.04044099660683874
523,-0.05129501832657726,-0.08612080361409932,-0.06265723886273449,-0.04044099660683874
524,-0.06535873767547434,-0.05403300731340535,-0.06991860593967568,-0.04044099660683874
