,0
501,0.0047444817825078615
502,0.0064256618140839964
503,0.0076618614029341945
504,0.003564423074083084
505,0.004405889753096313
506,0.000797282901006518
507,0.0065314676260097475
508,0.0011549175950307962
509,0.001783977251721076
510,0.0016996154309795962
511,0.0064743993661414605
512,0.003783068452548888
513,0.004761737344810141
514,0.002703638341313148
515,0.002886226243881807
516,0.005736744891674875
517,0.0015623963244128629
518,0.0024628914260578206
519,0.0033155595056342086
520,0.003220936761388666
521,0.0060220685068968355
522,0.0024763302751849778
523,0.0022970225518615128
524,0.00423404602124397
525,0.0053442537850990944
526,0.0032667636503922065
527,0.005052707398296083
528,0.002940809138427767
529,0.002674306701464168
530,0.004840105530360811
531,0.001779211888751064
532,0.003117893147871663
533,0.0025965244066540397
534,0.001361779634264669
535,0.003432230243558279
536,0.0025638397315244804
537,0.0029203704847673845
538,0.0033749795808714574
539,0.005120093090219553
540,0.004193602817039249
541,0.004111700833602176
542,0.003816596838019171
543,0.004492252394068354
544,0.0036525507215933845
545,0.002685524340822023
546,0.0015810687848165684
547,0.008178150020417775
548,0.006185638151756684
549,0.0036371697459322747
550,0.0021152927919575737
551,0.0029279465823207292
552,0.002675391643613722
553,0.0016367292298073942
554,0.003585734621073297
555,0.003966994004812558
556,0.0044338192052689575
557,0.004804929931891462
558,0.002200859154438369
559,0.004505615066303585
560,0.0021272495848404377
561,0.0027151115013242383
562,0.0024739224996027007
563,0.002523769936218148
564,0.001853344076694419
565,0.00439496829637701
566,0.001965177323644723
567,0.002303312106739508
568,0.005298522465477265
569,0.0014563791469206014
570,0.0030532120005511373
571,0.002143189735358849
572,0.0032609855249310835
573,0.0019282292752087736
574,0.002154934783280519
575,0.004241834611410508
576,0.0051977584297184425
577,0.0034036755961608586
578,0.004907500470504843
579,0.0016152162874865348
580,0.0026279489025119672
581,0.00291994837714935
582,0.0038026927273156117
583,0.002321111482542472
584,0.0026637770769858495
585,0.002526091912288135
586,0.004787188655319674
587,0.003341984883509548
588,0.002500252330477959
589,0.0006110319845204909
590,0.004092801228164511
591,0.005056125963301075
592,0.0020398778826051975
593,0.002910557523603275
594,0.005869269665094719
595,0.0035064905804577107
596,0.004945714248633225
597,0.0032474554959992866
598,0.0027634272575396274
599,0.005248041915623618
600,0.0031246634455457827
601,0.0029519972333663658
602,0.0008063598419485798
603,0.0035864525665234618
604,0.0022813227554226503
605,0.0021200879728494743
606,0.004227597803107767
607,0.0020701529589783677
608,0.0016296941092016233
609,0.004197663312438849
610,0.0039484594105215175
611,0.005026637462534418
612,0.008836449599511733
613,0.0033373413449041566
614,0.0027489675108307806
615,0.003039277202823945
616,0.001855908626789619
617,0.003369863665214863
618,0.0029407345755052875
619,0.002332474244246365
620,0.0026194224813935116
621,0.001384697424628177
622,0.003737312542034491
623,0.004329494989937112
624,0.0027587793294558288
625,0.0010253879402502529
626,0.002927461448718189
627,0.004254782331861442
628,0.003787106237325727
629,0.0028119695864058775
630,0.003968644869007607
631,0.0014119264563004427
632,0.003201581298306932
633,0.005001324202306247
634,0.004822364975012638
635,0.0025656593898177086
636,0.0045587672748605935
637,0.0057770456416810665
638,0.005591951527714696
639,0.0015168532401998586
640,0.003282424368272948
641,0.0046498984488036075
642,0.0035505952968906775
643,0.005166678607791404
644,0.0010509788657846672
645,0.003261439784615435
646,0.006018370194679559
647,0.005778811849078055
648,0.0033395639008769254
649,0.004542365275701729
650,0.0024910650305209384
651,0.002554377241186352
652,0.005367770148395211
653,0.0012509699595935457
654,0.0027591653523159135
655,0.004642384503018984
656,0.002167932864386215
657,0.0068099641752438515
658,0.002442061053984821
659,0.0005261389254951412
660,0.004805882500079052
661,0.005798895259677174
662,0.0014401982376377024
663,0.0004590624400247466
664,0.0028022767012010966
665,0.007070168079194979
666,0.005183418488845473
667,0.0027446668884916945
668,0.005161375687536493
669,0.005235501385709454
670,0.002900083866946466
671,0.005211589235632449
672,0.004439208994897995
673,0.0022140791141188076
674,0.0030927154347192795
675,0.003276385289469138
676,0.007397331215810102
677,0.005426366054018125
678,0.0059211132236267035
679,0.005265246115143343
680,0.002980973570174202
681,0.004577881398125895
682,0.003742135693720637
683,0.0030567870125412324
684,0.005714983518136614
685,0.0027733002619179264
686,0.0021856251358166857
687,0.002403694194632431
688,0.002102551136361296
689,0.0017383885305958802
690,0.004339927912741297
691,0.00206821582546479
692,0.002179931402066517
693,0.0027523234967925365
694,0.0030087368838659055
695,0.003746565412827909
696,0.0010705630912415318
697,0.004147223666879866
698,0.0014582321438776334
699,0.003668435670805157
700,0.0017351726991068999
701,0.004702366481321094
702,0.00401181008276631
703,0.005132563649803433
704,0.004676413241104026
705,0.003272305723883468
706,0.0020977995871975497
707,0.00398423881037759
708,0.004298300436468634
709,0.002511160487827143
710,0.004012060799537302
711,0.002934712028023307
712,0.007202392914686058
713,0.005573842882406812
714,0.0029425270239667573
715,0.0013397814637335845
716,0.002350667319425658
717,0.0036558776881718776
718,0.0025586987178371676
719,0.0008391756863598323
720,0.004400171907366512
721,0.002078921228599382
722,0.0035935770286239024
723,0.0031584728452466065
724,0.0037784599982451142
725,0.003095501779930935
726,0.0046162866933933564
727,0.0024752170368969664
728,0.0033996856719154048
729,0.0032622096646251256
730,0.0029639609997428305
731,0.003611846460963746
732,0.003437218955132095
733,0.0019365936509721932
734,0.004374027366828889
735,0.0036724187163281415
736,0.0038879432280051612
737,0.002951893277649197
738,0.0015817522484233432
739,0.0024644128610540653
740,0.003299317467906234
741,0.005931771183174031
742,0.005012472040783028
743,0.0024533997749735894
744,0.003291034895352596
745,0.002690887414819707
746,0.004934452596825646
747,0.0005389898075537081
748,0.003067537318544184
749,0.005129430793888126
750,0.0014313292568385132
751,0.004611189013521169
752,0.003956659486373068
753,0.0028730746675176924
754,0.004869161000833751
755,0.0013560168778623052
756,0.0028912983084036503
757,0.004412728630609773
758,0.004414762488707785
759,0.002057741581156377
760,0.0018990181063909424
761,0.0025560299160026514
762,0.0037108377428092406
763,0.002661450697121426
764,0.0017162044142361443
765,0.004017540970237884
766,0.003857912765604913
767,0.0041128257743077885
768,0.0022108857013620246
769,0.007399891642649203
770,0.002616245254641258
771,0.0021155724056397436
772,0.003576110235861701
773,0.0019073444674116518
774,0.005879601129310797
775,0.0037368978507454193
776,0.004704780769716043
777,0.004134502843493932
778,0.0019112522266396409
779,0.001441275888259378
780,0.0014260178664398555
781,0.0014002409412144725
782,0.0016614274596658065
783,0.002876904380949429
784,0.0023658200326992945
785,0.00311913638978373
786,0.0034528544384884057
787,0.003323505207484865
788,0.0025140847030171672
789,0.003336546864825292
790,0.001279666257448168
791,0.0027883019866910045
792,0.0023267831750942367
793,0.0039300106205929705
794,0.0013060529185512624
795,0.002316052651295357
796,0.00156424299987417
797,0.0015086034368703878
798,0.002942350628860018
799,0.002449996315533467
800,0.004128559394991454
801,0.0029169326588533682
802,0.0009697248685740061
803,0.0006214852282366672
804,0.0010427913502903986
805,0.0023930972253614334
806,0.005199539089344197
807,0.006176298833442773
808,0.0033975726885063944
809,0.0050097656765597
810,0.003225300682904303
811,0.003962131812883667
812,0.0026613782180781574
813,0.003264091736929018
814,0.0032125743311730466
815,0.0012702057845227835
816,0.0005987923122283007
817,0.000509738662180341
818,0.003122194226002036
819,0.0005741939366771693
820,0.000480335193840641
821,0.004185806260515204
822,0.004906116040347224
823,0.0031352276570356086
824,0.004257111582967849
825,0.004174213232049904
826,0.0056874112405789394
827,0.004355349325182028
828,0.004223414858681863
829,0.003465587611497619
830,0.0019190054778694607
831,0.003318772098811202
832,0.0027744764453093394
