GaussianCopula,tCopula,ClaytonCopula,HS
-0.07957770018527426,-0.07887423839542797,-0.08645687062830072,-0.04044099660683874
-0.07635581450322831,-0.06257771792896516,-0.08519357987399565,-0.04044099660683874
-0.058492408666489824,-0.07130099926371518,-0.07853230521103449,-0.04044099660683874
-0.06012385637025784,-0.0789567232800444,-0.0908836630808076,-0.04044099660683874
-0.053519486994233215,-0.07144374931830344,-0.09191230945975039,-0.04044099660683874
-0.05719954523818897,-0.05803364733940016,-0.057297970836181156,-0.04044099660683874
-0.06653797421181636,-0.07588282988402943,-0.08002407028607242,-0.04044099660683874
-0.06002292697987055,-0.053275802684429135,-0.07783621686595865,-0.04044099660683874
-0.0658747754524023,-0.07733213775049795,-0.07580785951608277,-0.04044099660683874
-0.058151086983459395,-0.07372235063628421,-0.06322356875335515,-0.04044099660683874
-0.05715678292336742,-0.05724522081761637,-0.07428099488939906,-0.04044099660683874
-0.05372135720168434,-0.06035911228670231,-0.09631063949169781,-0.04044099660683874
-0.05930072041502219,-0.05573740177540079,-0.07155332656512885,-0.04044099660683874
-0.05972008809301612,-0.11248829499706027,-0.07075523929824988,-0.04044099660683874
-0.05604797530832017,-0.05753826825969277,-0.06388645452655593,-0.04044099660683874
-0.056860689651435876,-0.07641255541812784,-0.08315239109711678,-0.04044099660683874
-0.05559421063375496,-0.0591101335240129,-0.05580417568801798,-0.04044099660683874
-0.06196224786317037,-0.05787742562938323,-0.05391741370960172,-0.04044099660683874
-0.050640500005944535,-0.05725615600261137,-0.05250275544523054,-0.04044099660683874
-0.048771154821430754,-0.07723945309952336,-0.07414750435245532,-0.04044099660683874
-0.040573697121767,-0.057991887221064756,-0.05967050333580713,-0.04044099660683874
-0.04696599354578788,-0.045376413412925594,-0.050361988655462514,-0.04044099660683874
-0.05129501832657726,-0.08612080361409932,-0.06265723886273449,-0.04044099660683874
-0.06535873767547434,-0.05403300731340535,-0.06991860593967568,-0.04044099660683874
-0.044412785568016304,-0.054661093946769705,-0.08234075492016646,-0.04044099660683874
-0.04224830520793301,-0.058805850864557294,-0.05320370090339672,-0.04044099660683874
-0.044359794630203175,-0.04692986008840049,-0.05700441315395793,-0.04044099660683874
-0.04274100290936875,-0.057890365504314964,-0.06794654761883415,-0.04044099660683874
-0.046430498184730634,-0.04814278357959736,-0.06095414725007094,-0.04044099660683874
-0.04408826330628633,-0.039995235899053884,-0.055130584696795104,-0.04044099660683874
-0.04279989290141226,-0.051658441363688655,-0.047049904988811155,-0.04044099660683874
-0.04120252695626153,-0.047070595930425535,-0.05135328555522084,-0.04044099660683874
-0.0508106099771567,-0.04621216148842623,-0.050863767652771695,-0.04044099660683874
-0.04173363048897566,-0.04538652294590864,-0.05153531123851187,-0.04044099660683874
-0.04659561086905813,-0.0494462502681152,-0.05727172098094348,-0.04044099660683874
-0.04283297865770318,-0.04327685010411788,-0.04315524297086214,-0.04044099660683874
-0.03846580530958349,-0.04456798736881613,-0.0548563384123182,-0.04044099660683874
-0.04027761926912388,-0.04277147990771442,-0.051191363086358556,-0.04044099660683874
-0.04725024475622642,-0.04484998762054609,-0.058160500788125034,-0.04044099660683874
-0.037357777197829324,-0.0363825040531553,-0.04324168812828469,-0.04044099660683874
-0.04457507670744859,-0.0393703012139943,-0.046712682040130175,-0.04044099660683874
-0.048364187390109274,-0.03837363839617185,-0.054711196194380605,-0.04044099660683874
-0.037413515794786446,-0.04206598439927581,-0.05479318901479207,-0.04044099660683874
-0.04518530145301112,-0.049895419687178526,-0.05015002681928251,-0.04044099660683874
-0.038520113595030575,-0.05202990997122372,-0.05995136344472791,-0.04044099660683874
-0.041314227228694454,-0.044360966056782164,-0.04585266208983607,-0.04044099660683874
-0.03357681195669968,-0.040383404509872475,-0.061987460168681716,-0.04044099660683874
-0.04004424258240053,-0.07165815258973743,-0.06705769616809944,-0.04044099660683874
-0.03583478333215203,-0.05171935247826342,-0.06264494354731956,-0.04044099660683874
-0.04286416410791468,-0.04219653454671576,-0.04530234424397927,-0.04044099660683874
-0.04412520366335278,-0.05428475984969304,-0.056806309989498295,-0.04044099660683874
-0.04605712632576561,-0.059212055169133825,-0.047417362000714,-0.04044099660683874
-0.039214079935345085,-0.039859099938037885,-0.05167875764573311,-0.04044099660683874
-0.04407768216722764,-0.044880074510261436,-0.06150057270648457,-0.04044099660683874
-0.038134986998893325,-0.0556340189707623,-0.05128014548677796,-0.04044099660683874
-0.044169646899106074,-0.034010527332695606,-0.04689516248571935,-0.04044099660683874
-0.04100784381401561,-0.0492655163085992,-0.06829444539325219,-0.04044099660683874
-0.040600929158907395,-0.04419192245543269,-0.054948657482416806,-0.04044099660683874
-0.03619834010330589,-0.04972627218402205,-0.0542808012708409,-0.04044099660683874
-0.05273801757936999,-0.046774558171130305,-0.05067097151150663,-0.04044099660683874
-0.04143215947863344,-0.03501152565823899,-0.043369419840542774,-0.04044099660683874
-0.03590575792612091,-0.046528539616284656,-0.046247504558230665,-0.04044099660683874
-0.03300114143720383,-0.04776872427439245,-0.0423185755585966,-0.04044099660683874
-0.0421009437410516,-0.041030376314719105,-0.06652889339845867,-0.04044099660683874
-0.04112554300417026,-0.037218454192360674,-0.047990640357672906,-0.04044099660683874
-0.029671663764066793,-0.04410262947966399,-0.04111319133102531,-0.04044099660683874
-0.045906327488819294,-0.044415237326065594,-0.04698126466231364,-0.04044099660683874
-0.04885438887228266,-0.05717372552273838,-0.05360214437614807,-0.04044099660683874
-0.04408087155610268,-0.044459122701243095,-0.047688577962755725,-0.04044099660683874
-0.0428961145968465,-0.056471256960932074,-0.05216565836299624,-0.04044099660683874
-0.05095786956314538,-0.047008570971095356,-0.05163773426854506,-0.04044099660683874
-0.03719677428455078,-0.03831060329732195,-0.04285466236337814,-0.04044099660683874
-0.04641922816368314,-0.048989036235611516,-0.05624167646402758,-0.04044099660683874
-0.04640660098913508,-0.05476540865317104,-0.05513708088342743,-0.04044099660683874
-0.04477659464669318,-0.039233452550664856,-0.054846293823561154,-0.04044099660683874
-0.03911727148275788,-0.03867282842973922,-0.05119511296995737,-0.04044099660683874
-0.04587283894680093,-0.04439810826543907,-0.049749306915641896,-0.04044099660683874
-0.044108226304299926,-0.037611930147953616,-0.06177675158194817,-0.04044099660683874
-0.05810756676900676,-0.04400354090644512,-0.047555630308988794,-0.04044099660683874
-0.03929411333647399,-0.05902456296418511,-0.045681239628204036,-0.04044099660683874
-0.038143844317212655,-0.04388188991898374,-0.051641698878204946,-0.04044099660683874
-0.03931333135441643,-0.0395722110814498,-0.052959741398739005,-0.04044099660683874
-0.03618764608177233,-0.04004269303846486,-0.05989545812048151,-0.04044099660683874
-0.04045888194560335,-0.0500895542198289,-0.046911491356449474,-0.04044099660683874
-0.039472068499386254,-0.0371424994786248,-0.046953716794915355,-0.04044099660683874
-0.03487207337979611,-0.041893296408044116,-0.05241789224326238,-0.04044099660683874
-0.03241584998949934,-0.043638099855570725,-0.04116419353314186,-0.04044099660683874
-0.05006559195108378,-0.041746988345356756,-0.0537514474724356,-0.04044099660683874
-0.04823288347739707,-0.05062745129600015,-0.0499120562947542,-0.04044099660683874
-0.047150148994182926,-0.05369217131361427,-0.042862594972129804,-0.04044099660683874
-0.04070731258259732,-0.04229824907458824,-0.0665034076878387,-0.04044099660683874
-0.0633737721408147,-0.03816757223802647,-0.05051403758238687,-0.04044099660683874
-0.04984341355768871,-0.04586505152502548,-0.04661291850401959,-0.04044099660683874
-0.038630715966877276,-0.0495498722290022,-0.059927475236313456,-0.04044099660683874
-0.04974287454777918,-0.057814336835403296,-0.04854276811463583,-0.04044099660683874
-0.052322191799757146,-0.04728753327284997,-0.0645096655500442,-0.04044099660683874
-0.0479637637440063,-0.043315820514495916,-0.05418496252553552,-0.04044099660683874
-0.042145479410946936,-0.05401106778233223,-0.049244178876539216,-0.04044099660683874
-0.06432712502146787,-0.04807186473830762,-0.06119454880363208,-0.04044099660683874
-0.043585655794943126,-0.054850826792552834,-0.07809965111026897,-0.04044099660683874
-0.04248171077277012,-0.04939057068520668,-0.060757196808624035,-0.04044099660683874
-0.04906316179905538,-0.05868953668761228,-0.05718111924054327,-0.04044099660683874
-0.04039021167638078,-0.05101556554968065,-0.05789592150396718,-0.04044099660683874
-0.05183254527491751,-0.0627823911878151,-0.0589819515450394,-0.04044099660683874
-0.04107883279917255,-0.038910403614864815,-0.04837083016421919,-0.04044099660683874
-0.03838602164956692,-0.04878326255911003,-0.05228325950488754,-0.04044099660683874
-0.04119655159867092,-0.05456745607904422,-0.041723508535199606,-0.04044099660683874
-0.04817163472174089,-0.053315636676716696,-0.05066821831789137,-0.04044099660683874
-0.03999534639459096,-0.04394708837897283,-0.048040377319943685,-0.04044099660683874
-0.03274691763735758,-0.037278194230304824,-0.054459967598659925,-0.04044099660683874
-0.04275937902005153,-0.06433445424752382,-0.06053344588366161,-0.04044099660683874
-0.03911908531634369,-0.04562770139794599,-0.08012268826505484,-0.04044099660683874
-0.04270780455889527,-0.07591130293988317,-0.0495302212635234,-0.04044099660683874
-0.04017508248423716,-0.04083153640863544,-0.05147721959576652,-0.04044099660683874
-0.03967908876929706,-0.039835526682720175,-0.06252101601743079,-0.04044099660683874
